id,name,type,cr,ac,hp,speed,str,dex,con,int,wis,cha,traits,actions
m-goblin,Goblin,Küçük İnsansı (Goblinoid),1/4,15,7,9m,8,14,10,10,8,8,Nimble Escape: Bonus aksiyon olarak Disengage veya Hide yapabilir.,"Scimitar: +4 vurur, 1d6+2 kesici. Shortbow: +4 vurur, 1d6+2 delici (80/320 ft)."
m-kobold,Kobold,Küçük İnsansı (Draconic),1/8,12,5,9m,7,15,9,8,7,8,Pack Tactics: Müttefiki hedefin 5 ft yakınındaysa avantajlı vurur. Sunlight Sensitivity: Gün ışığında dezavantajlıdır.,"Dagger: +4 vurur, 1d4+2 delici. Sling: +4 vurur, 1d4+2 delici."
m-skeleton,İskelet (Skeleton),Orta Hortlak (Undead),1/4,13,13,9m,10,14,15,6,8,5,Vulnerabilities: Ezici (Bludgeoning) hasara karşı hassastır.,"Shortsword: +4 vurur, 1d6+2 delici. Shortbow: +4 vurur, 1d6+2 delici."
m-zombie,Zombi (Zombie),Orta Hortlak (Undead),1/4,8,22,6m,13,6,16,3,6,5,Undead Fortitude: Canı 0'a düştüğünde CON zarı atarak (DC 5 + hasar) 1 HP ile hayatta kalabilir.,"Slam: +3 vurur, 1d6+1 ezici hasar."
m-orc,Ork (Orc),Orta İnsansı (Orc),1/2,13,15,9m,16,12,16,7,11,10,Aggressive: Bonus aksiyon olarak düşmana doğru tam hız koşabilir.,"Greataxe: +5 vurur, 1d12+3 kesici hasar. Javelin: +5 vurur, 1d6+3 delici."
m-bandit,Haydut (Bandit),Orta İnsansı (Humanoid),1/8,12,11,9m,11,12,12,10,10,10,Parry: Reaksiyon olarak AC'sini +2 arttırır.,"Scimitar: +3 vurur, 1d6+1 kesici. Light Crossbow: +3 vurur, 1d8+1 delici."
m-bugbear,Bugbear,Orta İnsansı (Goblinoid),1,16,27,9m,15,14,13,8,11,9,Brute: Melee silahı fazladan 1 zar atar. Surprise Attack: Sürpriz elde ederse +2d6 fazladan hasar verir.,"Morningstar: +4 vurur, 2d8+2 ezici/delici. Javelin: +4 vurur, 1d6+2 delici."
m-ogre,Ogre,Büyük Dev (Giant),2,11,59,12m,19,8,16,5,7,7,Girişken Dev: Yüksek can ve vurucu güce sahip ağır yakın dövüşçü.,"Greatclub: +6 vurur, 2d8+4 ezici. Javelin: +6 vurur, 2d6+4 delici."
m-mimic,Mimik (Mimic),Orta Yaratık (Monstrosity),2,12,58,4.5m,17,12,15,5,13,8,Shapechanger: Sandık veya mobilya kılığına girer. Adhesive: Temas eden yaratık yapışır (Grappled DC 13).,"Pseudopod: +5 vurur, 1d8+3 ezici. Bite: +5 vurur, 1d8+3 ezici + 1d8 asit."
m-young-red-dragon,Genç Kırmızı Ejderha (Young Red Dragon),Büyük Ejderha (Dragon),10,18,178,"12m, Uçuş: 24m",23,10,21,14,11,19,Multiattack: 1 Isırık ve 2 Pençe saldırısı yapar.,"Bite: +10 vurur, 2d10+6 delme + 2d6 ateş. Fire Breath (Recharge 5-6): 30ft koni, 16d6 ateş hasarı (DEX Save 17)."
m-beholder,Beholder (Gözlücü),Büyük Aberasyon (Aberration),13,18,180,Uçuş: 6m (Hover),10,14,18,17,15,17,Antimagic Cone: Ana gözü 150ft alanda tüm büyüleri büyüsüzleştirir.,"Eye Rays: Her tur rastgele 3 göz ışını atar (Charm, Paralyzing, Fear, Slowing, Death Ray, Disintegration Ray)."
m-lich,Lich,Orta Hortlak (Undead Spellcaster),21,17,135,9m,11,16,16,20,14,16,"Legendary Resistance (3/Day), Rejuvenation (Phylactery), 9. Seviye Büyücü (Power Word Kill, Time Stop).","Paralyzing Touch: +12 vurur, 3d6 soğuk + Felç (CON Save 18). Efsanevi Aksiyonlar (Ray of Frost, Disrupt Life)."
m-giant-rat,Dev Fare (Giant Rat),Küçük Yaratık (Beast),1/8,12,7,6m,7,15,11,2,10,4,Pack Tactics: Müttefiki hedefin 5 ft yakınındaysa avantajlı vurur.,"Bite: +4 vurur, 1d4+2 delici."
m-wolf,Kurt (Wolf),Orta Yaratık (Beast),1/4,13,11,12m,12,15,12,3,12,6,"Pack Tactics, Keen Hearing and Smell.","Bite: +4 vurur, 2d4+2 delici; hedef DC 11 STR kurtarma atışını kaçırırsa yere düşer (Prone)."
m-hobgoblin,Hobgoblin,Orta İnsansı (Goblinoid),1/2,18,11,9m,13,12,12,10,10,9,Martial Advantage: Bir müttefiki hedefin 5 ft yakınındaysa turda bir kez +2d6 fazladan hasar verir.,"Longsword: +3 vurur, 1d8+1 kesici. Longbow: +3 vurur, 1d8+1 delici."
